,League,Team,Name,Age,Position,Market Value,Matches Played,Minutes,Matches Started,Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Cards Over 0.5,Cards Over 0.5 (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Saves,Saves (Per90),Save Percentage,Punches,Punches (Per90)
0,premier-league,Manchester City,Gianluigi Donnarumma,27,Goalkeeper,45000000.0,28,2520,28,22,12,1,0.04,1,0.04,38,1.36,1,0.04,0,0.0,22,0.79,20,0.71,15,0.54,0,0.0,1.33,0.05,746,26.64,597,21.32,0.8003,0,0.0,0,0.0,0,0.0,0.0,2,0.07,2,0.07,1.0,0,0.0,0,0.0,6,0,6,0.21,6,0.21,0,0.0,3,0.11,18850000.0,67,2.39,0.7363,25,0.89
27,premier-league,Arsenal FC,David Raya,30,Goalkeeper,35000000.0,32,2880,32,19,15,1,0.03,1,0.03,29,0.91,0,0.0,0,0.0,20,0.62,19,0.59,7,0.22,0,0.0,1.34,0.04,951,29.72,642,20.06,0.6751,3,0.09,1,0.03,0,0.0,0.0,1,0.03,1,0.03,1.0,0,0.0,0,0.0,1,0,1,0.03,1,0.03,0,0.0,10,0.31,7540000.0,51,1.59,0.68,9,0.28
51,premier-league,Chelsea FC,Robert Sánchez,28,Goalkeeper,22000000.0,30,2615,30,32,9,2,0.07,1,0.03,23,0.79,0,0.0,0,0.0,23,0.79,19,0.65,10,0.34,1,0.03,2.22,0.08,1126,38.75,759,26.12,0.6740999999999999,5,0.17,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.03,0,0.0,4,1,5,0.17,3,0.1,3,0.1,10,0.34,4524000.0,85,2.93,0.6967,6,0.21
52,premier-league,Chelsea FC,Filip Jørgensen,23,Goalkeeper,15000000.0,3,264,2,4,0,0,0.0,1,0.34,2,0.68,0,0.0,0,0.0,2,0.68,1,0.34,1,0.34,0,0.0,0.27,0.09,133,45.34,109,37.16,0.8195,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.34,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,3770000.0,6,2.05,0.6,1,0.34
82,premier-league,Liverpool FC,Giorgi Mamardashvili,25,Goalkeeper,28000000.0,7,630,7,11,2,0,0.0,0,0.0,9,1.29,0,0.0,1,0.14,6,0.86,4,0.57,2,0.29,0,0.0,0.39,0.06,233,33.29,168,24.0,0.721,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,1,0.14,2,0.29,6409000.0,25,3.57,0.6757,3,0.43
83,premier-league,Liverpool FC,Alisson,33,Goalkeeper,17000000.0,25,2250,25,23,8,0,0.0,0,0.0,37,1.48,1,0.04,1,0.04,14,0.56,10,0.4,5,0.2,0,0.0,1.14,0.05,788,31.52,629,25.16,0.7981999999999999,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0,1,0.04,1,0.04,1,0.04,7,0.28,8911500.0,56,2.24,0.6512,21,0.84
110,premier-league,Tottenham Hotspur,Guglielmo Vicario,29,Goalkeeper,23000000.0,31,2790,31,46,7,1,0.03,0,0.0,36,1.16,1,0.03,0,0.0,18,0.58,16,0.52,12,0.39,0,0.0,1.64,0.05,1080,34.84,723,23.32,0.6694,1,0.03,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0,1,0.03,1,0.03,0,0.0,3,0.1,4455750.0,83,2.68,0.6241,19,0.61
111,premier-league,Tottenham Hotspur,Antonín Kinský,23,Goalkeeper,13000000.0,1,90,1,1,0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.06,0.06,36,36.0,24,24.0,0.6667000000000001,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,1872000.0,1,1.0,0.5,1,1.0
138,premier-league,Manchester United,Senne Lammens,23,Goalkeeper,30000000.0,4,360,4,4,0,0,0.0,0,0.0,3,0.75,0,0.0,0,0.0,2,0.5,2,0.5,2,0.5,0,0.0,0.17,0.04,177,44.25,97,24.25,0.5479999999999999,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1,0.25,9048000.0,11,2.75,0.7333,1,0.25
139,premier-league,Manchester United,Altay Bayındır,27,Goalkeeper,7000000.0,6,540,6,10,0,0,0.0,0,0.0,7,1.17,1,0.17,0,0.0,6,1.0,5,0.83,1,0.17,0,0.0,0.27,0.04,177,29.5,108,18.0,0.6102000000000001,1,0.17,0,0.0,0,0.0,0.0,1,0.17,1,0.17,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,3,0.5,2639000.0,13,2.17,0.5417000000000001,1,0.17
