Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Anchor Man_Score,Deep Lying Playmaker_Score,Ball Winning Midfielder_Score,Performance_Score,Rank,Value_Normalized,Age_Normalized,Value_Score,Value_Rank
70,premier-league,Chelsea FC,Dário Essugo,21,17000000.0,1,8,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,3,33.75,0,0.0,1,11.25,0,0.0,1,11.25,0,0.0,8,90.0,4,45.0,0,0.0,0,0.0,0.01,0.11,6,67.5,6,67.5,1.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,11.25,0,0.0,1,0,1,11.25,2,22.5,1,11.25,3016000.0,85,4.19,0.0,20,0.0,0,0.0,10,0.4,0.0,0.0,Defensive Midfield,Ball Winning Midfielder,29.007352941176475,66.0294117647059,100.0,50.0,1,0.14835164835164835,0.15789473684210525,42.391555812608445,1
512,premier-league,Burnley FC,Florentino,26,20000000.0,3,35,0,0,0.0,0,0.0,0.0,0.0,0.0,1,2,3,7.71,1,2.57,2,5.14,0,0.0,1,2.57,0,0.0,8,20.57,4,10.29,1,2.57,0,0.0,0.02,0.05,12,30.86,9,23.14,0.75,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,2,5.14,0,0.0,2080000.0,75,4.19,0.0,4,0.4,5,0.21,10,0.47,27.78,20.0,Defensive Midfield,Ball Winning Midfielder,70.73529411764706,6.61764705882353,98.52941176470588,39.056876310272536,3,0.17582417582417584,0.42105263157894735,25.361098403968313,2
930,la-liga,Levante UD,Ugo Raghouber,22,3000000.0,9,456,5,0,0.0,0,0.0,0.05,0.01,0.05,5,2,14,2.76,7,1.38,12,2.37,1,0.2,4,0.79,0,0.0,62,12.24,39,7.7,12,2.37,0,0.0,0.49,0.1,216,42.63,180,35.53,0.8332999999999999,2,0.39,1,0.2,0,0.0,0.0,7,1.38,5,0.99,0.7143,3,0.59,1,0.2,0,0,0,0.0,6,1.18,8,1.58,1131000.0,75,4.19,5.56,18,0.0,0,0.21,15,0.4,0.0,0.0,Defensive Midfield,Ball Winning Midfielder,56.91176470588235,30.73529411764706,83.08823529411764,29.71040108148955,17,0.020146520146520148,0.21052631578947367,24.895479161304472,3
642,la-liga,Athletic Bilbao,Mikel Vesga,33,1500000.0,20,401,1,0,0.0,0,0.0,0.09,0.02,0.09,5,3,15,3.38,9,2.03,10,2.26,0,0.0,11,2.48,0,0.0,75,16.92,40,9.02,15,3.38,0,0.0,0.56,0.13,241,54.36,188,42.41,0.7801,4,0.9,2,0.45,0,0.0,0.0,7,1.58,4,0.9,0.5714,6,1.35,0,0.0,0,0,0,0.0,8,1.8,8,1.8,2600000.0,67,4.19,0.0,20,0.52,1,0.18,0,0.0,0.0,0.0,Defensive Midfield,Ball Winning Midfielder,61.47058823529412,45.22058823529412,91.17647058823528,40.072838208548994,2,0.00641025641025641,0.7894736842105263,24.091056832030773,4
333,premier-league,Brentford FC,Vitaly Janelt,27,18000000.0,22,1256,13,1,0.07,5,0.36,1.47,0.11,1.47,15,5,24,1.72,26,1.86,30,2.15,8,0.57,16,1.15,0,0.0,117,8.38,61,4.37,23,1.65,4,0.29,4.38,0.31,712,50.98,617,44.18,0.8665999999999999,20,1.43,53,3.79,16,1.15,0.3019,10,0.72,4,0.29,0.4,6,0.43,0,0.0,7,0,7,0.5,17,1.22,12,0.86,2262000.0,85,3.19,9.09,20,0.4,0,0.0,4,0.0,0.0,0.0,Defensive Midfield,Anchor Man,80.22058823529412,73.23529411764707,31.98529411764705,36.74242198611517,4,0.1575091575091575,0.47368421052631576,22.54346305031413,5
69,premier-league,Chelsea FC,Roméo Lavia,22,25000000.0,9,245,2,0,0.0,0,0.0,0.05,0.02,0.05,3,2,5,1.84,6,2.2,3,1.1,1,0.37,0,0.0,0,0.0,24,8.82,13,4.78,2,0.73,0,0.0,0.37,0.14,192,70.53,177,65.02,0.9219,1,0.37,1,0.37,0,0.0,0.0,3,1.1,2,0.73,0.6667000000000001,4,1.47,0,0.0,0,0,0,0.0,6,2.2,4,1.47,3393000.0,67,4.19,5.0,0,0.0,0,0.21,15,0.4,9.09,0.0,Defensive Midfield,Deep Lying Playmaker,64.77941176470587,70.51470588235294,45.95588235294117,33.31271477680717,8,0.2216117216117216,0.21052631578947367,22.453836812666047,6
566,la-liga,FC Barcelona,Marc Bernal,18,30000000.0,28,2169,25,1,0.04,4,0.17,1.94,0.08,1.94,22,9,48,1.99,25,1.04,82,3.4,8,0.33,17,0.71,0,0.0,187,7.76,100,4.15,31,1.29,3,0.12,5.17,0.21,1242,51.54,1096,45.48,0.8824,33,1.37,27,1.12,10,0.41,0.3704,4,0.17,1,0.04,0.25,6,0.25,2,0.08,7,1,8,0.33,36,1.49,22,0.91,13195000.0,106,2.34,5.56,18,0.75,5,0.21,13,0.54,27.78,18.0,Defensive Midfield,Deep Lying Playmaker,59.70588235294117,81.47058823529412,41.17647058823529,29.336949784294912,19,0.2673992673992674,0.0,21.31497176231689,7
957,la-liga,Elche CF,Federico Redondo,23,3500000.0,27,1947,22,9,0.42,10,0.46,9.14,0.42,7.74,25,9,40,1.86,11,0.51,20,0.93,3,0.14,9,0.42,0,0.0,400,18.59,207,9.62,72,3.35,1,0.05,2.14,0.1,419,19.47,294,13.66,0.7017,21,0.98,3,0.14,1,0.05,0.3333,58,2.69,38,1.77,0.6552,45,2.09,8,0.37,7,3,8,0.37,37,1.72,59,2.74,1040000.0,75,4.1,0.0,0,0.72,0,0.0,13,0.54,0.0,11.0,Defensive Midfield,Ball Winning Midfielder,14.26470588235294,29.926470588235293,69.85294117647058,27.26085984933613,29,0.024725274725274724,0.2631578947368421,21.255943712841045,8
805,la-liga,Sevilla FC,Lucien Agoumé,24,12000000.0,27,2154,25,1,0.04,3,0.13,1.39,0.06,1.39,38,4,46,1.92,35,1.46,34,1.42,4,0.17,15,0.63,0,0.0,231,9.65,112,4.68,46,1.92,2,0.08,3.58,0.15,1075,44.92,867,36.23,0.8065000000000001,22,0.92,15,0.63,2,0.08,0.1333,16,0.67,9,0.38,0.5625,21,0.88,6,0.25,9,0,9,0.38,46,1.92,13,0.54,2875000.0,67,3.19,0.0,18,0.52,1,0.05,13,0.0,9.09,0.0,Defensive Midfield,Ball Winning Midfielder / Anchor Man,48.23529411764706,43.419117647058826,48.89705882352941,30.63837807541282,13,0.10256410256410256,0.3157894736842105,21.24566552480553,9
151,premier-league,Manchester United,Manuel Ugarte,25,30000000.0,21,789,7,0,0.0,0,0.0,0.62,0.07,0.62,17,4,43,4.86,20,2.26,17,1.92,2,0.23,15,1.69,0,0.0,132,14.91,73,8.24,11,1.24,0,0.0,0.8,0.09,439,49.57,373,42.12,0.8497,3,0.34,0,0.0,0,0.0,0.0,9,1.02,7,0.79,0.7778,10,1.13,0,0.0,1,0,1,0.11,22,2.48,12,1.36,9048000.0,106,2.34,5.56,0,0.0,1,0.0,0,0.47,27.78,18.0,Defensive Midfield,Ball Winning Midfielder,63.602941176470594,38.16176470588236,94.85294117647058,36.03614043778769,5,0.2673992673992674,0.3684210526315789,20.645741363178086,10
