Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Inside Forward_Score,Traditional Winger_Score,Winger_Type,Performance_Score,Rank,Value_Normalized,Age_Normalized,Value_Score,Value_Rank
75,premier-league,Chelsea FC,Jamie Gittens,21,35000000.0,5,359,5,1,0.25,2,0.5,1.57,0.39,1.57,0,5,4,1.0,4,1.0,1,0.25,0,0.0,3,0.75,0,0.0,79,19.81,37,9.28,1,0.25,1,0.25,1.24,0.31,172,43.12,150,37.6,0.8721,10,2.51,27,6.77,7,1.75,0.2593,43,10.78,22,5.52,0.5115999999999999,10,2.51,0,0.0,0,0,0,0.0,5,1.25,10,2.51,1300000.0,67,2.34,33.33,6,0.27,1,0.22,1,0.33,83.33,3.0,Left Winger,Traditional Winger,66.88461538461539,93.34615384615384,Left Winger,62.44957626765308,1,0.1745872936468234,0.25,52.21195745824838,1
812,la-liga,Sevilla FC,Chidera Ejuke,28,4000000.0,22,682,4,1,0.13,2,0.26,1.68,0.22,1.68,11,4,13,1.7,4,0.52,3,0.39,1,0.13,1,0.13,0,0.0,128,16.72,75,9.8,4,0.52,1,0.13,1.47,0.19,275,35.92,232,30.3,0.8436,9,1.18,17,2.22,4,0.52,0.2353,75,9.8,46,6.01,0.6133,15,1.96,2,0.26,0,0,0,0.0,3,0.39,12,1.57,2350000.0,85,4.19,0.0,6,0.27,5,0.22,5,0.04,83.33,3.0,Left Winger,Inside Forward / Traditional Winger,47.46153846153847,44.0,Left Winger,47.26582146400642,5,0.01950975487743872,0.6,34.68052881768326,2
890,la-liga,CA Osasuna,Kike Barja,29,1500000.0,21,319,2,1,0.28,3,0.85,0.94,0.27,0.94,4,3,5,1.41,3,0.85,5,1.41,1,0.28,3,0.85,0,0.0,56,15.8,20,5.64,5,1.41,2,0.56,1.62,0.46,86,24.26,60,16.93,0.6977,7,1.97,42,11.85,8,2.26,0.1905,17,4.8,6,1.69,0.3529,8,2.26,1,0.28,3,0,3,0.85,10,2.82,4,1.13,1050000.0,85,3.4,0.0,31,0.67,1,0.27,19,0.4,14.29,0.0,Right Winger,Traditional Winger,70.1923076923077,95.0769230769231,Right Winger,46.76915149370291,6,0.007003501750875438,0.65,33.55904644117664,3
416,premier-league,Sunderland AFC,Nilson Angulo,22,17000000.0,22,1902,22,6,0.28,11,0.52,6.36,0.3,6.36,23,9,58,2.74,17,0.8,30,1.42,1,0.05,22,1.04,0,0.0,357,16.89,167,7.9,27,1.28,5,0.24,5.84,0.28,693,32.79,552,26.12,0.7965000000000001,47,2.22,102,4.83,20,0.95,0.1961,100,4.73,44,2.08,0.44,43,2.03,11,0.52,4,1,4,0.19,31,1.47,39,1.85,349751.0,67,4.1,33.33,6,0.27,5,0.22,5,0.33,83.33,3.0,Left Winger,Traditional Winger,61.74999999999999,79.40384615384616,Left Winger,40.81093241905058,7,0.08454227113556778,0.3,32.274664284983544,4
22,premier-league,Manchester City,Jérémy Doku,23,65000000.0,23,1307,14,2,0.14,6,0.41,3.85,0.27,3.85,12,9,15,1.03,10,0.69,0,0.0,0,0.0,4,0.28,0,0.0,238,16.39,119,8.19,3,0.21,4,0.28,4.95,0.34,527,36.29,445,30.64,0.8443999999999999,45,3.1,50,3.44,16,1.1,0.32,113,7.78,61,4.2,0.5398,39,2.69,3,0.21,0,0,0,0.0,20,1.38,41,2.82,2970500.0,123,4.19,33.33,6,0.4,1,0.22,1,0.33,16.67,3.0,Left Winger,Traditional Winger,58.24999999999999,87.15384615384616,Left Winger,48.66110591199375,3,0.3246623311655828,0.35,31.92123597702627,5
575,la-liga,FC Barcelona,Lamine Yamal,18,200000000.0,27,2225,25,15,0.61,26,1.05,16.93,0.68,14.83,21,10,37,1.48,9,0.36,5,0.2,0,0.0,8,0.32,0,0.0,407,16.27,216,8.64,0,0.0,11,0.44,11.31,0.45,1336,53.42,1080,43.18,0.8084,70,2.8,78,3.12,19,0.76,0.2435999999999999,238,9.52,130,5.2,0.5462,42,1.68,15,0.6,1,0,1,0.04,27,1.08,51,2.04,27090000.0,85,3.4,12.9,7,1.69,1,0.27,3,0.4,14.29,7.75,Right Winger,Inside Forward,97.26923076923076,79.07692307692308,Right Winger,61.55946981877237,2,1.0,0.1,29.55946981877237,6
622,la-liga,Villarreal CF,Hugo López,19,1000000.0,28,1811,21,11,0.55,15,0.75,11.24,0.56,11.24,20,8,11,0.55,4,0.2,26,1.29,3,0.15,3,0.15,0,0.0,232,11.53,89,4.42,31,1.54,4,0.2,3.8,0.19,403,20.03,309,15.36,0.7667,21,1.04,7,0.35,1,0.05,0.1429,69,3.43,36,1.79,0.5217,25,1.24,11,0.55,0,0,0,0.0,35,1.74,12,0.6,15080000.0,67,3.19,0.0,6,0.4,5,0.22,1,0.33,83.33,3.0,Left Winger,Inside Forward,82.84615384615385,25.0,Left Winger,31.05539380621207,26,0.004502251125562781,0.15,27.920326272445187,7
493,premier-league,Wolverhampton Wanderers,Enso González,21,3000000.0,16,456,5,2,0.39,2,0.39,2.57,0.51,2.57,5,2,1,0.2,2,0.39,4,0.79,0,0.0,5,0.99,0,0.0,57,11.25,17,3.36,2,0.39,0,0.0,0.5,0.1,102,20.13,83,16.38,0.8137000000000001,8,1.58,5,0.99,3,0.59,0.6,23,4.54,8,1.58,0.3478,13,2.57,1,0.2,0,0,0,0.0,6,1.18,6,1.18,1660000.0,67,4.19,0.0,6,0.4,1,0.07,5,0.04,83.33,3.0,Left Winger,Inside Forward,78.11538461538461,44.57692307692308,Left Winger,31.38791256802692,24,0.014507253626813406,0.25,25.95269495922252,8
757,la-liga,Valencia CF,Largie Ramazani,25,8000000.0,20,876,8,5,0.51,6,0.62,5.86,0.6,3.76,15,5,9,0.93,10,1.03,6,0.62,0,0.0,11,1.13,1,0.1,123,12.65,43,4.42,2,0.21,1,0.1,1.62,0.17,250,25.71,195,20.06,0.78,14,1.44,22,2.26,8,0.82,0.3636,41,4.22,17,1.75,0.4146,23,2.37,2,0.21,4,0,4,0.41,14,1.44,15,1.54,1300000.0,67,4.0,33.33,6,0.4,1,0.07,5,0.33,83.33,3.0,Left Winger,Inside Forward,82.6153846153846,60.71153846153848,Left Winger,35.60762907468073,16,0.03951975987993997,0.45,25.422036278282533,9
654,la-liga,Athletic Bilbao,Robert Navarro,24,6000000.0,25,910,7,5,0.49,6,0.59,4.4,0.44,4.4,11,3,11,1.09,7,0.69,8,0.79,1,0.1,2,0.2,0,0.0,138,13.66,47,4.65,8,0.79,1,0.1,1.69,0.17,303,30.0,246,24.36,0.8119,17,1.68,49,4.85,6,0.59,0.1224,39,3.86,15,1.49,0.3846,25,2.48,4,0.4,1,0,1,0.1,14,1.39,14,1.39,1300000.0,85,3.4,0.0,5,0.78,12,0.66,3,0.67,38.71,7.75,Right Winger,Inside Forward,86.42307692307692,52.25000000000001,Right Winger,34.125449296396816,19,0.029514757378689346,0.4,25.240006575036134,10
