Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Shadow Striker_Score,Playmaker_Score,Performance_Score_Raw,Performance_Score,Rank
154,premier-league,Manchester United,Bruno Fernandes,31,40000000.0,28,2439,28,8,0.3,24,0.89,10.11,0.37,5.91,34,4,46,1.7,17,0.63,40,1.48,5,0.18,28,1.03,1,0.04,231,8.52,110,4.06,18,0.66,16,0.59,15.92,0.59,1601,59.08,1325,48.89,0.8276,102,3.76,131,4.83,40,1.48,0.3053,31,1.14,15,0.55,0.4839,26,0.96,4,0.15,3,0,3,0.11,20,0.74,33,1.22,22620000.0,0.0,7,0.48,8,0.26,6,0.23,14.29,15.0,Attacking Midfield,Playmaker,83.6111111111111,94.44444444444444,73.19591602576779,73.19591602576779,1
548,la-liga,Real Madrid,Arda Güler,21,90000000.0,31,1954,24,4,0.18,12,0.55,6.47,0.3,6.47,20,11,45,2.07,7,0.32,10,0.46,2,0.09,21,0.97,1,0.05,185,8.52,103,4.74,4,0.18,8,0.37,9.4,0.43,1290,59.42,1167,53.75,0.9047,67,3.09,126,5.8,36,1.66,0.2857,42,1.93,26,1.2,0.619,17,0.78,3,0.14,1,0,1,0.05,21,0.97,29,1.34,6500000.0,6.67,7,0.48,8,0.11,7,0.67,14.29,0.0,Attacking Midfield,Playmaker,59.49074074074075,93.70370370370372,69.33945216517698,69.33945216517698,2
572,la-liga,FC Barcelona,Dani Olmo,27,60000000.0,26,1618,18,7,0.39,14,0.78,8.39,0.47,8.39,13,10,29,1.61,13,0.72,19,1.06,0,0.0,12,0.67,0,0.0,171,9.51,92,5.12,16,0.89,7,0.39,7.39,0.41,985,54.79,845,47.0,0.8579000000000001,43,2.39,23,1.28,6,0.33,0.2609,33,1.84,9,0.5,0.2727,19,1.06,3,0.17,0,0,0,0.0,18,1.0,38,2.11,14000000.0,6.67,15,0.78,8,0.11,7,0.23,53.33,0.0,Attacking Midfield,Playmaker,78.42592592592592,87.03703703703705,57.421818873408945,57.421818873408945,3
19,premier-league,Manchester City,Phil Foden,25,80000000.0,27,1830,21,7,0.34,10,0.49,8.01,0.39,8.01,15,11,31,1.53,10,0.49,12,0.59,3,0.15,10,0.49,0,0.0,165,8.12,83,4.08,6,0.3,3,0.15,5.44,0.27,1049,51.62,922,45.37,0.8789,47,2.31,103,5.07,35,1.72,0.3398,38,1.87,21,1.03,0.5526,27,1.33,3,0.15,4,0,4,0.2,17,0.84,27,1.33,16965000.0,6.67,15,0.78,1,0.26,6,0.67,14.29,0.0,Attacking Midfield,Shadow Striker,86.48148148148147,80.0,56.947396818892514,56.947396818892514,4
102,premier-league,Liverpool FC,Florian Wirtz,22,110000000.0,28,2084,24,4,0.17,7,0.3,6.66,0.29,6.66,22,9,31,1.34,10,0.43,11,0.48,2,0.09,16,0.69,0,0.0,215,9.29,88,3.8,7,0.3,3,0.13,6.06,0.26,1251,54.03,1062,45.86,0.8489,54,2.33,30,1.3,5,0.22,0.1667,63,2.72,34,1.47,0.5397,32,1.38,2,0.09,1,0,1,0.04,21,0.91,17,0.73,15080000.0,0.0,7,0.48,1,0.26,7,0.67,14.29,15.0,Attacking Midfield,Playmaker,68.42592592592592,78.14814814814815,56.142061362041865,56.142061362041865,5
129,premier-league,Tottenham Hotspur,Xavi Simons,22,50000000.0,26,1603,17,1,0.06,5,0.28,3.41,0.19,3.41,28,3,31,1.74,16,0.9,11,0.62,1,0.06,16,0.9,0,0.0,220,12.35,109,6.12,12,0.67,4,0.22,4.79,0.27,733,41.15,603,33.86,0.8226,32,1.8,50,2.81,15,0.84,0.3,63,3.54,26,1.46,0.4127,23,1.29,0,0.0,5,1,6,0.34,19,1.07,40,2.25,11584950.0,6.67,7,0.78,1,0.11,7,0.67,53.33,0.0,Attacking Midfield,Playmaker,37.96296296296296,70.74074074074075,48.10800902307849,48.10800902307849,6
73,premier-league,Chelsea FC,Cole Palmer,23,110000000.0,21,1516,19,9,0.53,10,0.59,9.27,0.55,5.77,24,4,21,1.25,12,0.71,13,0.77,0,0.0,6,0.36,0,0.0,141,8.37,61,3.62,0,0.0,1,0.06,2.73,0.16,635,37.7,533,31.64,0.8393999999999999,22,1.31,27,1.6,4,0.24,0.1481,48,2.85,15,0.89,0.3125,28,1.66,1,0.06,4,0,4,0.24,12,0.71,26,1.54,9802000.0,6.67,7,0.78,8,0.11,7,0.67,53.33,15.0,Attacking Midfield,Shadow Striker,80.55555555555556,39.62962962962963,45.84036442536606,45.84036442536606,7
103,premier-league,Liverpool FC,Dominik Szoboszlai,25,100000000.0,30,2693,30,5,0.17,8,0.27,7.15,0.24,6.45,33,9,46,1.54,27,0.9,56,1.87,8,0.27,31,1.04,0,0.0,224,7.49,113,3.78,18,0.6,3,0.1,7.89,0.26,1863,62.26,1636,54.68,0.8782,60,2.01,166,5.55,53,1.77,0.3193,42,1.4,24,0.8,0.5714,18,0.6,2,0.07,8,1,9,0.3,30,1.0,26,0.87,9048000.0,6.67,15,0.48,8,0.26,6,0.23,14.29,0.0,Attacking Midfield,Playmaker,63.888888888888886,75.55555555555557,44.36960931567978,44.36960931567978,8
42,premier-league,Arsenal FC,Eberechi Eze,27,60000000.0,27,1541,17,6,0.35,8,0.47,7.08,0.41,7.08,10,13,16,0.93,8,0.47,10,0.58,1,0.06,4,0.23,0,0.0,149,8.7,77,4.5,9,0.53,2,0.12,2.62,0.15,535,31.25,452,26.4,0.8449,15,0.88,11,0.64,3,0.18,0.2727,39,2.28,23,1.34,0.5897,17,0.99,1,0.06,1,0,1,0.06,16,0.93,30,1.75,13572000.0,6.67,7,0.78,8,0.11,6,0.23,53.33,15.0,Attacking Midfield,Shadow Striker,76.38888888888889,27.77777777777778,42.57738167382612,42.57738167382612,9
673,la-liga,Real Sociedad,Brais Méndez,29,12000000.0,27,1566,19,6,0.34,8,0.46,6.27,0.35,5.57,23,2,32,1.78,6,0.33,9,0.5,3,0.17,7,0.39,0,0.0,209,11.6,101,5.61,26,1.44,2,0.11,3.66,0.2,809,44.92,656,36.42,0.8109000000000001,24,1.33,59,3.28,13,0.72,0.2203,44,2.44,18,1.0,0.4090999999999999,20,1.11,7,0.39,5,1,6,0.34,41,2.28,28,1.55,6500000.0,6.67,15,0.78,1,0.11,7,0.67,53.33,0.0,Attacking Midfield,Shadow Striker,72.36111111111111,50.74074074074074,41.411592093873594,41.411592093873594,10
