Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Inside Forward_Score,Traditional Winger_Score,Winger_Type,Performance_Score_Raw,Performance_Score,Rank
575,la-liga,FC Barcelona,Lamine Yamal,18,200000000.0,27,2225,25,15,0.61,26,1.05,16.93,0.68,14.83,21,10,37,1.48,9,0.36,5,0.2,0,0.0,8,0.32,0,0.0,407,16.27,216,8.64,0,0.0,11,0.44,11.31,0.45,1336,53.42,1080,43.18,0.8084,70,2.8,78,3.12,19,0.76,0.2435999999999999,238,9.52,130,5.2,0.5462,42,1.68,15,0.6,1,0,1,0.04,27,1.08,51,2.04,27090000.0,85,3.4,12.9,7,1.69,1,0.27,3,0.4,14.29,7.75,Right Winger,Inside Forward,97.26923076923076,79.07692307692308,Right Winger,81.31285524457472,81.31285524457472,1
416,premier-league,Sunderland AFC,Nilson Angulo,22,17000000.0,22,1902,22,6,0.28,11,0.52,6.36,0.3,6.36,23,9,58,2.74,17,0.8,30,1.42,1,0.05,22,1.04,0,0.0,357,16.89,167,7.9,27,1.28,5,0.24,5.84,0.28,693,32.79,552,26.12,0.7965000000000001,47,2.22,102,4.83,20,0.95,0.1961,100,4.73,44,2.08,0.44,43,2.03,11,0.52,4,1,4,0.19,31,1.47,39,1.85,349751.0,67,4.1,33.33,6,0.27,5,0.22,5,0.33,83.33,3.0,Left Winger,Traditional Winger,61.74999999999999,79.40384615384616,Left Winger,54.59521454028783,54.59521454028783,2
133,premier-league,Tottenham Hotspur,Mohammed Kudus,25,55000000.0,19,1546,19,2,0.12,8,0.47,3.03,0.18,3.03,20,7,27,1.57,3,0.17,6,0.35,0,0.0,11,0.64,0,0.0,258,15.02,103,6.0,11,0.64,6,0.35,4.55,0.26,442,25.73,379,22.06,0.8575,24,1.4,122,7.1,30,1.75,0.2459,101,5.88,51,2.97,0.505,56,3.26,10,0.58,3,0,3,0.17,23,1.34,15,0.87,10181388.0,85,3.4,0.0,5,0.67,12,0.66,6,1.04,14.29,7.75,Right Winger,Traditional Winger,53.115384615384606,82.96153846153847,Right Winger,54.133290413492475,54.133290413492475,3
45,premier-league,Arsenal FC,Bukayo Saka,24,120000000.0,27,2001,22,6,0.27,10,0.45,8.78,0.39,8.08,14,12,32,1.44,14,0.63,10,0.45,0,0.0,15,0.67,0,0.0,287,12.91,150,6.75,22,0.99,4,0.18,5.7,0.26,677,30.45,523,23.52,0.7725,55,2.47,111,4.99,37,1.66,0.3333,86,3.87,45,2.02,0.5233,31,1.39,14,0.63,1,0,1,0.04,28,1.26,51,2.29,17794400.0,85,3.4,12.9,31,0.78,12,0.66,6,0.4,40.0,7.75,Right Winger,Traditional Winger,80.65384615384616,89.5576923076923,Right Winger,52.3018107687941,52.3018107687941,4
549,la-liga,Real Madrid,Vinicius Junior,25,150000000.0,30,2304,26,11,0.43,16,0.63,13.63,0.53,10.13,22,10,29,1.13,2,0.08,2,0.08,0,0.0,11,0.43,0,0.0,341,13.32,171,6.68,1,0.04,5,0.2,6.36,0.25,934,36.48,779,30.43,0.8340000000000001,53,2.07,57,2.23,8,0.31,0.1404,166,6.48,75,2.93,0.4518,38,1.48,12,0.47,7,0,7,0.27,28,1.09,67,2.62,25000000.0,85,2.34,33.33,6,0.27,1,0.07,5,0.04,16.67,3.0,Left Winger,Inside Forward,76.34615384615383,47.65384615384616,Left Winger,50.06141622237369,50.06141622237369,5
651,la-liga,Athletic Bilbao,Álex Berenguer,30,5000000.0,26,1881,22,3,0.14,6,0.29,4.19,0.2,4.19,22,5,24,1.15,13,0.62,16,0.77,0,0.0,19,0.91,0,0.0,266,12.72,108,5.16,30,1.43,3,0.14,4.82,0.23,677,32.38,521,24.91,0.7696,45,2.15,171,8.18,41,1.96,0.2398,54,2.58,20,0.96,0.3704,36,1.72,6,0.29,4,0,4,0.19,22,1.05,38,1.82,3900000.0,123,4.19,0.0,6,0.4,5,0.22,1,0.04,83.33,3.0,Left Winger,Traditional Winger,43.94230769230769,88.07692307692308,Left Winger,48.126241180416166,48.126241180416166,6
316,premier-league,Brighton & Hove Albion,Yankuba Minteh,21,40000000.0,28,1916,21,2,0.09,6,0.28,3.74,0.18,3.74,24,6,40,1.88,13,0.61,13,0.61,0,0.0,16,0.75,0,0.0,270,12.68,127,5.96,12,0.56,4,0.19,4.56,0.21,494,23.19,327,15.35,0.6618999999999999,40,1.88,104,4.88,27,1.27,0.2596,104,4.88,57,2.68,0.5481,29,1.36,10,0.47,2,0,2,0.09,26,1.22,20,0.94,2376400.0,85,3.4,12.9,31,1.69,1,0.11,3,1.04,14.29,5.0,Right Winger,Traditional Winger,55.03846153846153,77.17307692307693,Right Winger,44.66475116010758,44.66475116010758,7
366,premier-league,Everton FC,Jack Grealish,30,25000000.0,20,1632,18,2,0.11,8,0.44,3.05,0.17,3.05,23,8,21,1.16,11,0.61,11,0.61,5,0.28,10,0.55,0,0.0,211,11.63,107,5.9,5,0.28,6,0.33,5.99,0.33,564,31.08,474,26.12,0.8404,40,2.2,40,2.2,11,0.61,0.275,58,3.2,24,1.32,0.4138,30,1.65,0,0.0,5,1,5,0.28,13,0.72,58,3.2,16965000.0,106,3.19,33.33,6,0.27,5,0.22,5,0.33,83.33,3.0,Left Winger,Traditional Winger,35.03846153846154,68.84615384615384,Left Winger,43.50631819130807,43.50631819130807,8
78,premier-league,Chelsea FC,Pedro Neto,26,60000000.0,30,2307,26,5,0.2,9,0.35,5.79,0.23,5.79,25,9,15,0.59,6,0.23,11,0.43,0,0.0,19,0.74,0,0.0,205,8.0,80,3.12,6,0.23,4,0.16,5.66,0.22,811,31.64,706,27.54,0.8704999999999999,48,1.87,164,6.4,32,1.25,0.1951,85,3.32,38,1.48,0.4471,24,0.94,6,0.23,4,1,4,0.16,14,0.55,22,0.86,12064000.0,85,3.4,12.9,7,1.69,2,0.11,6,0.35,14.29,5.0,Right Winger,Traditional Winger,64.84615384615384,77.55769230769232,Right Winger,41.022207667097,41.022207667097,9
702,la-liga,Real Betis Balompié,Abde Ezzalzouli,24,30000000.0,22,1654,19,6,0.33,11,0.6,8.16,0.44,8.16,24,5,37,2.01,11,0.6,11,0.6,0,0.0,23,1.25,0,0.0,292,15.89,151,8.22,26,1.41,5,0.27,4.65,0.25,591,32.16,472,25.68,0.7986,20,1.09,46,2.5,6,0.33,0.1304,65,3.54,31,1.69,0.4769,34,1.85,4,0.22,3,0,3,0.16,22,1.2,57,3.1,1825000.0,67,4.19,33.33,6,0.4,1,0.07,5,0.33,83.33,0.0,Left Winger,Inside Forward,76.51923076923077,41.01923076923077,Left Winger,40.811743104889366,40.811743104889366,10
106,premier-league,Liverpool FC,Mohamed Salah,33,30000000.0,23,1910,20,6,0.28,12,0.57,7.68,0.36,6.98,26,7,16,0.75,3,0.14,6,0.28,1,0.05,8,0.38,0,0.0,167,7.87,51,2.4,8,0.38,6,0.28,6.31,0.3,683,32.18,515,24.27,0.754,47,2.21,101,4.76,16,0.75,0.1583999999999999,62,2.92,13,0.61,0.2097,35,1.65,13,0.61,1,0,1,0.05,10,0.47,16,0.75,30160000.0,85,3.4,0.0,7,0.67,1,0.27,19,0.67,14.29,7.75,Right Winger,Traditional Winger,68.34615384615384,74.28846153846153,Right Winger,40.76243367718898,40.76243367718898,11
622,la-liga,Villarreal CF,Hugo López,19,1000000.0,28,1811,21,11,0.55,15,0.75,11.24,0.56,11.24,20,8,11,0.55,4,0.2,26,1.29,3,0.15,3,0.15,0,0.0,232,11.53,89,4.42,31,1.54,4,0.2,3.8,0.19,403,20.03,309,15.36,0.7667,21,1.04,7,0.35,1,0.05,0.1429,69,3.43,36,1.79,0.5217,25,1.24,11,0.55,0,0,0,0.0,35,1.74,12,0.6,15080000.0,67,3.19,0.0,6,0.4,5,0.22,1,0.33,83.33,3.0,Left Winger,Inside Forward,82.84615384615385,25.0,Left Winger,40.116952543104105,40.116952543104105,12
