Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Position,Tactical_Role,Ball Winning Midfielder_Score,Mezzala_Score,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
568,la-liga,FC Barcelona,Pedri,23,150000000.0,23,1635,18,2,0.11,9,0.5,2.75,0.15,2.75,17,8,44,2.42,20,1.1,18,0.99,2,0.11,25,1.37,0,0.0,191,10.5,119,6.54,9,0.49,7,0.39,9.18,0.5,1596,87.75,1455,79.99,0.9117,52,2.86,7,0.38,2,0.11,0.2857,42,2.31,29,1.59,0.6905,24,1.32,1,0.05,2,1,2,0.11,8,0.44,37,2.03,16000000.0,83,4.19,3,0.19,0,0.2,2,0.72,33.33,Central Midfield,Mezzala,75.0,87.02173913043478,74.73032040155074,74.73032040155074,1,1.0,0.21428571428571427,40.44460611583646,1
176,premier-league,Newcastle United,Bruno Guimarães,28,75000000.0,28,2439,28,8,0.3,24,0.89,10.11,0.37,5.91,34,4,46,1.7,17,0.63,40,1.48,5,0.18,28,1.03,1,0.04,231,8.52,110,4.06,18,0.66,16,0.59,15.92,0.59,1601,59.08,1325,48.89,0.8276,102,3.76,131,4.83,40,1.48,0.3053,31,1.14,15,0.55,0.4839,26,0.96,4,0.15,3,0,3,0.11,20,0.74,33,1.22,22620000.0,67,3.19,23,0.38,0,0.06,18,0.12,33.33,Central Midfield,Mezzala,33.45652173913044,87.67391304347825,63.54668996263225,63.54668996263225,2,0.4983277591973244,0.5714285714285714,37.168285758141096,2
569,la-liga,FC Barcelona,Frenkie de Jong,28,45000000.0,20,1501,16,1,0.06,6,0.36,1.09,0.07,1.09,16,7,38,2.28,17,1.02,13,0.78,5,0.3,9,0.54,0,0.0,115,6.9,76,4.56,10,0.6,5,0.3,7.09,0.43,1398,83.82,1316,78.91,0.9413,32,1.92,5,0.3,3,0.18,0.6,9,0.54,6,0.36,0.6667000000000001,11,0.66,2,0.12,5,1,5,0.3,11,0.66,25,1.5,25200000.0,83,4.19,23,0.38,0,0.0,2,0.12,33.33,Central Midfield,Mezzala / Ball Winning Midfielder,61.32608695652173,63.28260869565218,56.81985203818667,56.81985203818667,3,0.2976588628762542,0.5714285714285714,36.46151472332761,3
959,la-liga,Elche CF,Aleix Febas,30,5000000.0,30,2655,30,2,0.07,5,0.17,2.83,0.1,2.83,40,7,65,2.2,23,0.78,20,0.68,4,0.14,22,0.75,0,0.0,336,11.39,210,7.12,7,0.24,3,0.1,5.35,0.18,1652,56.0,1485,50.34,0.8989,25,0.85,20,0.68,7,0.24,0.35,75,2.54,46,1.56,0.6133,38,1.29,1,0.03,7,0,7,0.24,26,0.88,94,3.19,1240000.0,85,3.19,23,0.38,0,0.0,2,0.38,33.33,Central Midfield,Ball Winning Midfielder,64.26086956521739,53.95652173913044,50.2518698133381,50.2518698133381,5,0.030100334448160536,0.7142857142857143,35.063145494179,4
699,la-liga,Real Betis Balompié,Pablo Fornals,30,8000000.0,31,2426,28,7,0.26,11,0.41,7.26,0.27,7.26,32,9,33,1.23,28,1.05,19,0.71,3,0.11,32,1.2,0,0.0,226,8.45,84,3.14,14,0.52,4,0.15,8.42,0.31,1487,55.58,1292,48.29,0.8689,73,2.73,125,4.67,34,1.27,0.272,37,1.38,17,0.64,0.4595,31,1.16,11,0.41,2,0,2,0.07,26,0.97,22,0.82,3900000.0,67,3.19,23,0.19,1,0.2,18,0.12,21.74,Central Midfield,Mezzala,33.391304347826086,83.71739130434783,50.495125371739434,50.495125371739434,4,0.05016722408026756,0.7142857142857143,34.70439436361712,5
589,la-liga,Atlético de Madrid,Pablo Barrios,22,60000000.0,21,1580,19,1,0.06,3,0.17,2.09,0.12,2.09,13,9,28,1.6,24,1.37,13,0.74,2,0.11,11,0.63,1,0.06,173,9.86,94,5.36,16,0.91,2,0.11,3.38,0.19,992,56.54,883,50.33,0.8901,20,1.14,27,1.54,8,0.46,0.2963,52,2.96,29,1.65,0.5577000000000001,20,1.14,0,0.0,0,0,0,0.0,12,0.68,21,1.2,7812500.0,67,4.19,3,0.19,1,0.06,18,0.72,33.33,Central Midfield,Mezzala / Ball Winning Midfielder,57.21739130434782,62.19565217391304,48.96508307739293,48.96508307739293,7,0.3979933110367893,0.14285714285714285,34.1681408891464,6
726,la-liga,Celta de Vigo,Ilaix Moriba,23,10000000.0,30,1949,20,1,0.05,3,0.14,1.75,0.08,1.75,24,8,70,3.23,16,0.74,22,1.02,6,0.28,18,0.83,0,0.0,245,11.31,140,6.46,15,0.69,2,0.09,3.22,0.15,815,37.63,715,33.02,0.8773000000000001,15,0.69,2,0.09,0,0.0,0.0,24,1.11,10,0.46,0.4167,20,0.92,0,0.0,5,0,5,0.23,26,1.2,48,2.22,1700000.0,67,4.19,23,0.19,1,0.06,3,0.38,21.74,Central Midfield,Ball Winning Midfielder,70.63043478260869,35.369565217391305,40.34659416756525,40.34659416756525,19,0.06354515050167224,0.21428571428571427,34.1545253668008,7
204,premier-league,Nottingham Forest,Elliot Anderson,23,60000000.0,32,2865,32,2,0.06,4,0.13,3.5,0.11,2.8,42,8,90,2.83,36,1.13,39,1.23,12,0.38,38,1.19,1,0.03,461,14.48,250,7.85,58,1.82,2,0.06,6.53,0.21,2023,63.55,1734,54.47,0.8571,51,1.6,161,5.06,46,1.45,0.2857,73,2.29,36,1.13,0.4932,51,1.6,2,0.06,6,0,6,0.19,48,1.51,69,2.17,3016000.0,83,4.19,3,0.38,1,0.2,2,0.12,21.74,Central Midfield,Ball Winning Midfielder,83.15217391304347,68.26086956521739,49.66217040354458,49.66217040354458,6,0.3979933110367893,0.21428571428571427,33.436656786726616,8
833,la-liga,RCD Espanyol Barcelona,Edu Expósito,29,5000000.0,29,1980,25,1,0.05,7,0.32,3.36,0.15,3.36,30,8,39,1.77,18,0.82,22,1.0,3,0.14,18,0.82,0,0.0,207,9.41,109,4.95,15,0.68,6,0.27,7.5,0.34,799,36.32,616,28.0,0.7709999999999999,66,3.0,212,9.64,52,2.36,0.2453,29,1.32,22,1.0,0.7585999999999999,34,1.55,2,0.09,7,0,7,0.32,20,0.91,35,1.59,2350000.0,83,3.19,23,0.38,5,0.2,18,0.38,0.0,Central Midfield,Mezzala,47.78260869565217,83.28260869565217,47.191735677775696,47.191735677775696,8,0.030100334448160536,0.6428571428571429,33.43158278718802,9
727,la-liga,Celta de Vigo,Hugo Sotelo,22,7500000.0,28,1811,21,11,0.55,15,0.75,11.24,0.56,11.24,20,8,11,0.55,4,0.2,26,1.29,3,0.15,3,0.15,0,0.0,232,11.53,89,4.42,31,1.54,4,0.2,3.8,0.19,403,20.03,309,15.36,0.7667,21,1.04,7,0.35,1,0.05,0.1429,69,3.43,36,1.79,0.5217,25,1.24,11,0.55,0,0,0,0.0,35,1.74,12,0.6,15080000.0,85,3.19,3,0.92,0,0.2,3,0.38,0.0,Central Midfield,Mezzala,16.086956521739133,74.28260869565217,35.97612987098066,35.97612987098066,23,0.046822742474916385,0.14285714285714285,31.714304739590307,10
