Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Anchor Man_Score,Deep Lying Playmaker_Score,Ball Winning Midfielder_Score,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
981,la-liga,Deportivo Alavés,Antonio Blanco,25,10000000.0,29,2503,29,1,0.04,3,0.11,3.75,0.13,3.75,36,2,78,2.8,45,1.62,34,1.22,9,0.32,51,1.83,0,0.0,330,11.87,162,5.83,33,1.19,2,0.07,4.8,0.17,1572,56.52,1345,48.36,0.8556,15,0.54,27,0.97,7,0.25,0.2593,25,0.9,19,0.68,0.76,31,1.11,2,0.07,7,0,7,0.25,56,2.01,34,1.22,1150000.0,83,3.19,5.56,0,0.75,0,0.0,0,0.54,9.09,18.0,Defensive Midfield,Ball Winning Midfielder,57.05882352941176,54.264705882352935,76.10294117647058,45.13563782449782,45.13563782449782,3,0.08424908424908426,0.3684210526315789,35.23974424439372,1
359,premier-league,Everton FC,James Garner,25,35000000.0,32,2874,32,2,0.06,8,0.25,4.6,0.14,4.6,36,11,94,2.94,52,1.63,80,2.51,8,0.25,31,0.97,0,0.0,263,8.24,164,5.14,25,0.78,6,0.19,7.92,0.25,1473,46.13,1292,40.46,0.8771,46,1.44,168,5.26,42,1.32,0.25,30,0.94,14,0.44,0.4667,13,0.41,0,0.0,8,0,8,0.25,28,0.88,32,1.0,2262000.0,75,4.0,0.0,4,0.52,0,0.0,0,0.54,0.0,0.0,Defensive Midfield,Deep Lying Playmaker / Ball Winning Midfielder,65.51470588235293,74.26470588235294,70.58823529411764,46.686062095935,46.686062095935,2,0.3131868131868132,0.3684210526315789,29.922036647699027,2
123,premier-league,Tottenham Hotspur,João Palhinha,30,18000000.0,27,1807,19,3,0.15,5,0.25,3.33,0.17,3.33,31,7,97,4.83,22,1.1,45,2.24,10,0.5,17,0.85,0,0.0,250,12.45,158,7.87,29,1.44,2,0.1,2.68,0.13,810,40.34,650,32.37,0.8025,6,0.3,4,0.2,0,0.0,0.0,20,1.0,7,0.35,0.35,18,0.9,0,0.0,6,0,6,0.3,22,1.1,27,1.34,8020350.0,83,2.34,0.0,4,0.72,0,0.0,0,0.0,25.0,18.0,Defensive Midfield,Ball Winning Midfielder,62.20588235294117,20.22058823529412,93.38235294117648,44.95740658535864,44.95740658535864,4,0.1575091575091575,0.631578947368421,27.600552912715496,3
566,la-liga,FC Barcelona,Marc Bernal,18,30000000.0,28,2169,25,1,0.04,4,0.17,1.94,0.08,1.94,22,9,48,1.99,25,1.04,82,3.4,8,0.33,17,0.71,0,0.0,187,7.76,100,4.15,31,1.29,3,0.12,5.17,0.21,1242,51.54,1096,45.48,0.8824,33,1.37,27,1.12,10,0.41,0.3704,4,0.17,1,0.04,0.25,6,0.25,2,0.08,7,1,8,0.33,36,1.49,22,0.91,13195000.0,106,2.34,5.56,18,0.75,5,0.21,13,0.54,27.78,18.0,Defensive Midfield,Deep Lying Playmaker,59.70588235294117,81.47058823529412,41.17647058823529,33.248352289601726,33.248352289601726,12,0.2673992673992674,0.0,25.226374267623704,4
805,la-liga,Sevilla FC,Lucien Agoumé,24,12000000.0,27,2154,25,1,0.04,3,0.13,1.39,0.06,1.39,38,4,46,1.92,35,1.46,34,1.42,4,0.17,15,0.63,0,0.0,231,9.65,112,4.68,46,1.92,2,0.08,3.58,0.15,1075,44.92,867,36.23,0.8065000000000001,22,0.92,15,0.63,2,0.08,0.1333,16,0.67,9,0.38,0.5625,21,0.88,6,0.25,9,0,9,0.38,46,1.92,13,0.54,2875000.0,67,3.19,0.0,18,0.52,1,0.05,13,0.0,9.09,0.0,Defensive Midfield,Ball Winning Midfielder / Anchor Man,48.23529411764706,43.419117647058826,48.89705882352941,33.943116958614134,33.943116958614134,10,0.10256410256410256,0.3157894736842105,24.550404408006848,5
461,premier-league,Leeds United,Ethan Ampadu,25,25000000.0,28,2493,28,1,0.04,2,0.07,2.06,0.07,2.06,34,5,68,2.45,40,1.44,68,2.45,15,0.54,14,0.51,1,0.04,236,8.52,152,5.49,48,1.73,1,0.04,3.99,0.14,1347,48.63,1145,41.34,0.85,16,0.58,25,0.9,9,0.32,0.36,16,0.58,11,0.4,0.6875,10,0.36,0,0.0,7,0,7,0.25,36,1.3,28,1.01,3016000.0,85,4.19,5.0,20,0.72,5,0.18,15,0.54,25.0,20.0,Defensive Midfield,Anchor Man,74.70588235294117,48.30882352941177,67.64705882352942,35.83171995778734,35.83171995778734,7,0.2216117216117216,0.3684210526315789,21.814947256804114,6
462,premier-league,Leeds United,Anton Stach,27,25000000.0,26,2142,25,4,0.17,7,0.29,6.06,0.25,6.06,29,5,58,2.44,18,0.76,47,1.97,9,0.38,19,0.8,1,0.04,257,10.8,136,5.71,42,1.76,3,0.13,5.05,0.21,864,36.3,682,28.66,0.7894,59,2.48,133,5.59,42,1.76,0.3157999999999999,42,1.76,19,0.8,0.4524,21,0.88,0,0.0,3,0,3,0.13,33,1.39,20,0.84,3393000.0,85,4.19,0.0,20,0.0,0,0.0,0,0.54,0.0,0.0,Defensive Midfield,Ball Winning Midfielder,43.6764705882353,44.19117647058823,69.85294117647058,36.93601819465494,36.93601819465494,6,0.2216117216117216,0.47368421052631576,20.813982335776977,7
751,la-liga,Valencia CF,Pepelu,27,9000000.0,24,1726,20,2,0.1,2,0.1,2.42,0.13,0.32,27,6,48,2.5,16,0.83,48,2.5,5,0.26,13,0.68,0,0.0,155,8.08,91,4.75,24,1.25,0,0.0,2.86,0.15,1131,58.97,978,51.0,0.8647,20,1.04,44,2.29,9,0.47,0.2045,9,0.47,7,0.37,0.7778,10,0.52,1,0.05,3,0,3,0.16,27,1.41,12,0.63,2075000.0,83,3.4,0.0,11,0.0,0,0.0,15,0.4,0.0,11.0,Defensive Midfield,Deep Lying Playmaker,41.98529411764706,71.76470588235294,61.02941176470589,32.24207177729776,32.24207177729776,13,0.07509157509157509,0.47368421052631576,20.515640314024193,8
958,la-liga,Elche CF,Marc Aguado,26,3500000.0,29,2019,24,1,0.04,2,0.09,0.79,0.04,0.79,31,6,43,1.92,37,1.65,41,1.83,18,0.8,7,0.31,0,0.0,114,5.08,71,3.16,8,0.36,1,0.04,2.98,0.13,1060,47.25,955,42.57,0.9009,5,0.22,2,0.09,2,0.09,1.0,1,0.04,0,0.0,0.0,7,0.31,0,0.0,2,0,2,0.09,18,0.8,22,0.98,720000.0,75,4.0,0.0,0,0.72,5,0.18,4,0.47,0.0,0.0,Defensive Midfield,Anchor Man,79.55882352941177,53.8235294117647,30.51470588235294,29.519789230440818,29.519789230440818,18,0.024725274725274724,0.42105263157894735,20.35697835710363,9
806,la-liga,Sevilla FC,Batista Mendy,26,10000000.0,25,1591,19,1,0.06,1,0.06,1.98,0.11,1.98,21,4,36,2.03,19,1.07,22,1.24,5,0.28,13,0.73,0,0.0,172,9.72,86,4.86,15,0.85,0,0.0,1.53,0.09,646,36.5,561,31.69,0.8684000000000001,9,0.51,5,0.28,1,0.06,0.2,16,0.9,10,0.56,0.625,19,1.07,0,0.0,6,0,6,0.34,35,1.98,27,1.53,3775000.0,67,4.1,9.09,0,0.4,1,0.05,10,0.0,9.09,18.0,Defensive Midfield,Ball Winning Midfielder,40.0,41.28676470588235,55.14705882352941,31.108540966076212,31.108540966076212,16,0.08424908424908426,0.42105263157894735,20.160015807024735,10
