Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Wing Back_Score,Inverted Full Back_Score,Defensive Full Back_Score,FullBack_Type,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
801,la-liga,Sevilla FC,Gabriel Suazo,28,7000000.0,23,1584,19,0,0.0,2,0.11,0.4,0.02,0.4,28,4,66,3.75,21,1.19,37,2.1,4,0.23,20,1.14,1,0.06,181,10.28,97,5.51,7,0.4,2,0.11,3.58,0.2,776,44.06,650,36.91,0.8376,32,1.82,87,4.94,29,1.65,0.3333,23,1.31,13,0.74,0.5652,16,0.91,2,0.11,5,0,5,0.28,24,1.36,11,0.62,5000000.0,75,3.4,0.0,4,0.23,2,0.11,2,0.11,50.0,0.0,Left-Back,Wing Back,83.86206896551724,63.08620689655173,71.29310344827586,Left-Back,68.1127673734527,68.1127673734527,1,0.08695652173913043,0.5294117647058824,54.915836427161146,1
852,la-liga,Rayo Vallecano,Andrei Rațiu,27,18000000.0,28,2403,27,0,0.0,3,0.11,1.99,0.07,1.99,25,9,60,2.25,36,1.35,68,2.55,6,0.22,18,0.67,0,0.0,294,11.01,139,5.21,15,0.56,3,0.11,4.87,0.18,1137,42.58,938,35.13,0.825,37,1.39,86,3.22,20,0.75,0.2326,93,3.48,46,1.72,0.4946,40,1.5,4,0.15,8,0,8,0.3,19,0.71,20,0.75,1825000.0,75,3.19,0.0,26,0.97,8,0.3,18,0.67,30.77,0.0,Right-Back,Wing Back,80.51724137931035,59.63793103448276,67.56896551724138,Right-Back,60.870431865047685,60.870431865047685,2,0.2463768115942029,0.47058823529411764,44.067362811339244,2
803,la-liga,Sevilla FC,Juanlu Sánchez,22,15000000.0,26,1832,22,0,0.0,4,0.2,0.72,0.04,0.72,33,2,55,2.7,9,0.44,30,1.47,0,0.0,30,1.47,2,0.1,245,12.04,132,6.48,16,0.79,4,0.2,3.71,0.18,703,34.54,586,28.79,0.8336,20,0.98,53,2.6,16,0.79,0.3019,50,2.46,26,1.28,0.52,17,0.84,5,0.25,5,1,5,0.25,21,1.03,35,1.72,3125000.0,75,3.19,0.0,7,0.38,4,0.27,18,0.71,14.29,21.0,Right-Back,Wing Back,76.56896551724137,48.793103448275865,44.15517241379311,Right-Back,52.03901865858609,52.03901865858609,5,0.2028985507246377,0.17647058823529413,42.42265037214107,3
485,premier-league,Wolverhampton Wanderers,Pedro Lima,19,4000000.0,28,2259,26,0,0.0,2,0.08,1.64,0.07,1.64,32,7,53,2.11,19,0.76,80,3.19,9,0.36,35,1.39,0,0.0,212,8.45,105,4.18,18,0.72,2,0.08,4.37,0.17,1183,47.13,871,34.7,0.7363,41,1.63,190,7.57,44,1.75,0.2316,29,1.16,13,0.52,0.4483,11,0.44,1,0.04,7,0,7,0.28,27,1.08,22,0.88,5049850.0,123,2.34,0.0,23,0.92,5,0.2,18,0.72,21.74,0.0,Right-Back,Wing Back,75.37931034482759,31.74137931034483,52.87931034482759,Right-Back,40.58266091323599,40.58266091323599,24,0.043478260869565216,0.0,39.27831308714904,4
306,premier-league,Brighton & Hove Albion,Mats Wieffer,26,25000000.0,22,1665,19,2,0.11,5,0.27,2.61,0.14,2.61,19,7,64,3.46,24,1.3,65,3.51,6,0.32,32,1.73,0,0.0,254,13.73,126,6.81,37,2.0,3,0.16,3.71,0.2,777,42.0,655,35.41,0.843,19,1.03,13,0.7,3,0.16,0.2307999999999999,19,1.03,8,0.43,0.4211,21,1.14,2,0.11,7,0,7,0.38,26,1.41,19,1.03,3564600.0,75,3.4,8.33,12,0.92,8,0.25,2,0.3,0.0,0.0,Right-Back,Defensive Full Back,51.51724137931034,69.58620689655173,87.60344827586208,Right-Back,57.376342039384085,57.376342039384085,3,0.34782608695652173,0.4117647058823529,38.70626531304137,5
927,la-liga,Levante UD,Diego Pampín,26,1000000.0,29,2033,24,5,0.22,6,0.27,5.94,0.26,5.94,23,7,76,3.36,17,0.75,28,1.24,3,0.13,24,1.06,1,0.04,302,13.36,153,6.77,50,2.21,1,0.04,2.38,0.11,704,31.14,557,24.63,0.7912,21,0.93,22,0.97,6,0.27,0.2727,38,1.68,18,0.8,0.4736999999999999,25,1.11,1,0.04,9,0,9,0.4,47,2.08,10,0.44,1300000.0,123,3.19,0.0,3,0.0,0,0.12,7,0.4,0.0,0.0,Left-Back,Defensive Full Back,45.793103448275865,41.58620689655172,53.44827586206896,Left-Back,45.49252255687708,45.49252255687708,10,0.0,0.4117647058823529,37.25722843923002,6
804,la-liga,Sevilla FC,José Ángel Carmona,24,12000000.0,28,2048,23,1,0.04,4,0.18,1.69,0.07,1.69,35,5,54,2.37,37,1.63,61,2.68,7,0.31,37,1.63,2,0.09,265,11.65,144,6.33,38,1.67,3,0.13,3.94,0.17,956,42.01,782,34.37,0.818,14,0.62,28,1.23,5,0.22,0.1785999999999999,35,1.54,15,0.66,0.4286,12,0.53,1,0.04,11,0,11,0.48,40,1.76,38,1.67,3125000.0,67,3.4,5.88,17,0.75,3,0.13,14,0.62,17.65,17.0,Right-Back,Defensive Full Back,48.44827586206896,62.27586206896552,74.34482758620689,Right-Back,44.359437443618226,44.359437443618226,12,0.15942028985507245,0.29411764705882354,33.69447580678958,7
610,la-liga,Villarreal CF,Sergi Cardona,26,9000000.0,25,1641,17,1,0.05,4,0.22,1.55,0.09,1.55,20,7,41,2.25,31,1.7,45,2.47,7,0.38,21,1.15,0,0.0,153,8.4,79,4.34,18,0.99,3,0.16,3.34,0.18,597,32.76,479,26.29,0.8023,16,0.88,59,3.24,15,0.82,0.2542,10,0.55,3,0.16,0.3,9,0.49,1,0.05,4,0,4,0.22,22,1.21,19,1.04,2600000.0,123,4.0,6.67,15,0.82,4,0.22,11,0.6,26.67,15.0,Left-Back,Defensive Full Back,58.98275862068966,43.93103448275863,70.91379310344827,Left-Back,43.75968558996325,43.75968558996325,14,0.11594202898550725,0.4117647058823529,32.04613060275097,8
775,la-liga,Girona FC,Arnau Martínez,22,10000000.0,28,2119,26,1,0.04,3,0.13,1.3,0.06,1.3,23,6,58,2.46,35,1.49,108,4.59,13,0.55,19,0.81,0,0.0,204,8.66,117,4.97,28,1.19,2,0.08,4.08,0.17,1106,46.97,951,40.39,0.8599,16,0.68,34,1.44,5,0.21,0.1471,19,0.81,9,0.38,0.4736999999999999,12,0.51,2,0.08,6,0,6,0.25,22,0.93,23,0.98,1550000.0,123,3.4,7.14,14,0.59,1,0.04,13,0.55,7.14,14.0,Right-Back,Defensive Full Back,42.55172413793103,74.65517241379311,85.96551724137932,Right-Back,38.71730875005669,38.71730875005669,28,0.13043478260869565,0.17647058823529413,31.274853507089936,9
198,premier-league,Nottingham Forest,Neco Williams,25,25000000.0,31,2711,31,2,0.07,5,0.17,4.73,0.16,4.73,38,8,80,2.66,37,1.23,78,2.59,14,0.46,30,1.0,1,0.03,327,10.86,187,6.21,38,1.26,3,0.1,5.11,0.17,1110,36.85,925,30.71,0.8332999999999999,32,1.06,115,3.82,24,0.8,0.2087,52,1.73,23,0.76,0.4422999999999999,29,0.96,4,0.13,6,1,7,0.23,25,0.83,48,1.59,4901000.0,106,4.19,5.13,39,1.29,18,0.6,21,0.7,46.15,19.5,Left-Back,Defensive Full Back / Wing Back,69.39655172413792,58.31034482758621,69.75862068965517,Left-Back,48.69924123421667,48.69924123421667,7,0.34782608695652173,0.35294117647058826,31.20563509610925,10
